Ensembl	Gene	"Gene synonym"	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"
ENSG00000169085	C8orf46	MGC33510	"Chromosome 8 open reading frame 46"	Q8TAG6	8	66460003-66518524	"Predicted intracellular proteins"	Neurogenesis		
ENSG00000157782	CABP1		"Calcium binding protein 1"	Q9NZU7	12	120640552-120667324	"Predicted intracellular proteins"	"Sensory transduction, Vision"		
ENSG00000141837	CACNA1A	"APCA, CACNL1A4, Cav2.1, EA2, FHM, HPCA, MHP, MHP1, SCA6"	"Calcium voltage-gated channel subunit alpha1 A"	O00555	19	13206442-13633025	"Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Calcium transport, Ion transport, Transport"	"Calcium channel, Ion channel, Voltage-gated channel"	"Disease mutation, Epilepsy, FDA approved drug targets, Neurodegeneration, Spinocerebellar ataxia"
ENSG00000184524	CEND1	"BM88, FLJ90066"	"Cell cycle exit and neuronal differentiation 1"	Q8N111	11	787104-790123	"Predicted membrane proteins"	Differentiation		
ENSG00000114646	CSPG5	NGC	"Chondroitin sulfate proteoglycan 5"	O95196	3	47562239-47580792	"Predicted membrane proteins"	"Differentiation, Growth regulation, Neurogenesis"	"Developmental protein"	
ENSG00000145888	GLRA1	STHE	"Glycine receptor alpha 1"	P23415	5	151822513-151924842	"Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters"	"Ion transport, Transport"	"Chloride channel, Ion channel, Ligand-gated ion channel, Receptor"	"Disease mutation, FDA approved drug targets"
ENSG00000162188	GNG3		"G protein subunit gamma 3"	P63215	11	62707658-62709201	"Predicted intracellular proteins, RAS pathway related proteins"		Transducer	
ENSG00000154478	GPR26		"G protein-coupled receptor 26"	Q8NDV2	10	123666355-123694607	"G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	
ENSG00000169306	IL1RAPL1	"IL1R8, IL1RAPL, MRX10, MRX21, MRX34, OPHN4, TIGIRR-2"	"Interleukin 1 receptor accessory protein like 1"	Q9NZN1	X	28587399-29956723	"Disease related genes, Plasma proteins, Predicted membrane proteins"		"Hydrolase, Receptor"	"Mental retardation"
ENSG00000154118	JPH3	"CAGL237, HDL2, JP-3, JP3, TNRC22"	"Junctophilin 3"	Q8WXH2	16	87601835-87698156	"Disease related genes, Predicted membrane proteins"			
ENSG00000084731	KIF3C		"Kinesin family member 3C"	O14782	2	25926596-25982749	"Plasma proteins, Predicted intracellular proteins"		"Motor protein"	"Disease mutation"
ENSG00000171540	OTP		"Orthopedia homeobox"	Q5XKR4	5	77628712-77639688	"Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	
ENSG00000101405	OXT	"OT, OT-NPI, OXT-NPI"	"Oxytocin/neurophysin I prepropeptide"	P01178	20	3071620-3072517	"Plasma proteins, Predicted secreted proteins"		Hormone	
ENSG00000178235	SLITRK1	"KIAA1910, LRRC12"	"SLIT and NTRK like family member 1"	Q96PX8	13	83877205-83882393	"Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins"			
ENSG00000139767	SRRM4	"KIAA1853, nSR100"	"Serine/arginine repetitive matrix 4"	A7MD48	12	118981495-119163051	"Predicted intracellular proteins"	"Differentiation, mRNA processing, mRNA splicing"	RNA-binding	
ENSG00000132718	SYT11	"DKFZp781D015, KIAA0080, MGC10881, MGC17226"	"Synaptotagmin 11"	Q9BT88	1	155859509-155885199	"Predicted intracellular proteins"			
ENSG00000148704	VAX1		"Ventral anterior homeobox 1"	Q5SQQ9	10	117128521-117138301	"Disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	"Disease mutation, Microphthalmia"
ENSG00000107331	ABCA2	ABC2	"ATP binding cassette subfamily A member 2"	Q9BZC7	9	137007227-137028922	"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Transport		
ENSG00000178522	AMBN		Ameloblastin	Q9NP70	4	70592256-70607288	"Disease related genes, Predicted secreted proteins"	Biomineralization		"Amelogenesis imperfecta"
ENSG00000178171	AMER3	"FAM123C, FLJ38377"	"APC membrane recruitment protein 3"	Q8N944	2	130755435-130768134	"Predicted intracellular proteins"	"Wnt signaling pathway"		
ENSG00000112309	B3GAT2	GlcAT-S	"Beta-1,3-glucuronyltransferase 2"	Q9NPZ5	6	70856679-70957038	"Enzymes, Predicted membrane proteins"		Transferase	
ENSG00000145526	CDH18	"CDH14, EY-CADHERIN"	"Cadherin 18"	Q13634	5	19472951-20575873	"Predicted intracellular proteins, Predicted membrane proteins"	"Cell adhesion"		
ENSG00000184144	CNTN2	"AXT, TAG-1, TAX, TAX1"	"Contactin 2"	Q02246	1	205042937-205078284	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters"	"Cell adhesion"		Epilepsy
ENSG00000241563	CORT	MGC32686	Cortistatin	O00230	1	10449719-10451902	"Predicted secreted proteins"		Hormone	
ENSG00000140323	DISP2	"C15orf36, DISPB, HsT16908, KIAA1742, LINC00594"	"Dispatched RND transporter family member 2"	A7MBM2	15	40358235-40378639	"Predicted membrane proteins"			
ENSG00000171617	ENC1	"ENC-1, KLHL37, NRPB, PIG10, TP53I10"	"Ectodermal-neural cortex 1"	O14682	5	74627406-74641424	"Cancer-related genes, Predicted intracellular proteins"		"Actin-binding, Developmental protein"	"Cancer-related genes"
ENSG00000182103	FAM181B	"LOC220382, MGC33846"	"Family with sequence similarity 181 member B"	A6NEQ2	11	82729941-82733864	"Predicted intracellular proteins"			
ENSG00000168843	FSTL5	"DKFZp566D234, KIAA1263"	"Follistatin like 5"	Q8N475	4	161383897-162164035	"Predicted secreted proteins"			
ENSG00000163285	GABRG1		"Gamma-aminobutyric acid type A receptor gamma1 subunit"	Q8N1C3	4	46035769-46124081	"FDA approved drug targets, Predicted membrane proteins"	"Ion transport, Transport"	"Chloride channel, Ion channel"	"FDA approved drug targets"
ENSG00000168959	GRM5	"GPRC1E, mGlu5, MGLUR5, PPP1R86"	"Glutamate metabotropic receptor 5"	P41594	11	88504576-89065945	"FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"
ENSG00000158748	HTR6	"5-HT6, 5-HT6R"	"5-hydroxytryptamine receptor 6"	P50406	1	19665287-19679562	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"
ENSG00000105376	ICAM5	"TLCN, TLN"	"Intercellular adhesion molecule 5"	Q9UMF0	19	10289981-10296778	"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Cell adhesion"		
ENSG00000184156	KCNQ3	"EBN2, Kv7.3"	"Potassium voltage-gated channel subfamily Q member 3"	O43525	8	132120858-132481019	"Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Disease mutation, Epilepsy, FDA approved drug targets"
ENSG00000164794	KCNV1	Kv8.1	"Potassium voltage-gated channel modifier subfamily V member 1"	Q6PIU1	8	109963645-109975847	"Predicted membrane proteins, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	
ENSG00000184350	MRGPRE	"GPR167, mrgE"	"MAS related GPR family member E"	Q86SM8	11	3227698-3232386	"G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	
ENSG00000196132	MYT1	"MTF1, MYTI, NZF2, PLPB1, ZC2H2C1, ZC2HC4A"	"Myelin transcription factor 1"	Q01538	20	64102394-64242253	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	
ENSG00000188580	NKAIN2	"FAM77B, TCBA1"	"Sodium/potassium transporting ATPase interacting 2"	Q5VXU1	6	123804141-124825657	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"			
ENSG00000179915	NRXN1	"Hs.22998, KIAA0578"	"Neurexin 1"	"P58400, Q9ULB1"	2	49918505-51225575	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Angiogenesis, Cell adhesion"		"Mental retardation, Schizophrenia"
ENSG00000110076	NRXN2		"Neurexin 2"	"P58401, Q9P2S2"	11	64606174-64723188	"Predicted intracellular proteins, Predicted membrane proteins"	"Cell adhesion"		
ENSG00000118733	OLFM3	NOE3	"Olfactomedin 3"	Q96PB7	1	101802574-101997030	"Predicted intracellular proteins, Predicted secreted proteins"			
ENSG00000136099	PCDH8	"ARCADLIN, PAPC"	"Protocadherin 8"	O95206	13	52842889-52848641	"Plasma proteins, Predicted membrane proteins"	"Cell adhesion"		
ENSG00000240694	PNMA2	"MA2, RGAG2"	"PNMA family member 2"	Q9UL42	8	26504686-26514092	"Predicted intracellular proteins"		"Tumor antigen"	
ENSG00000100276	RASL10A	RRP22	"RAS like family 10 member A"	Q92737	22	29312933-29319679	"Predicted intracellular proteins"		Hydrolase	"Tumor suppressor"
ENSG00000261678	SCRT1	"DKFZp547F072, ZNF898"	"Scratch family transcriptional repressor 1"	Q9BWW7	8	144330565-144336281	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"DNA-binding, Repressor"	
ENSG00000100167	SEPT3	SEP3	"Septin 3"	Q9UH03	22	41969475-41998221	"Predicted intracellular proteins"	"Cell cycle, Cell division"		
ENSG00000187902	SHISA7		"Shisa family member 7"	A6NL88	19	55428740-55442863	"Predicted membrane proteins"			
ENSG00000101438	SLC32A1	"bA122O1.1, VGAT, VIAAT"	"Solute carrier family 32 member 1"	Q9H598	20	38724462-38729372	"Predicted membrane proteins, Transporters"	"Neurotransmitter transport, Transport"		
ENSG00000115665	SLC5A7	"CHT1, hCHT"	"Solute carrier family 5 member 7"	Q9GZV3	2	107986523-108013994	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Ion transport, Neurotransmitter biosynthesis, Sodium transport, Symport, Transport"		"Congenital myasthenic syndrome, Disease mutation, Neurodegeneration, Neuropathy"
ENSG00000122012	SV2C		"Synaptic vesicle glycoprotein 2C"	Q496J9	5	76083172-76353939	"Predicted membrane proteins, Transporters"	"Neurotransmitter transport, Transport"		
ENSG00000213023	SYT3		"Synaptotagmin 3"	Q9BQG1	19	50621307-50639827	"Predicted membrane proteins"	Differentiation		
ENSG00000178233	TMEM151B	"bA444E17.5, C6orf137, TMEM193"	"Transmembrane protein 151B"	Q8IW70	6	44270466-44307506	"Predicted membrane proteins"			
ENSG00000171368	TPPP	"p25, p25alpha, TPPP/p25, TPPP1"	"Tubulin polymerization promoting protein"	O94811	5	659862-693395	"Predicted intracellular proteins"	"Cell cycle, Cell division, Mitosis"	Hydrolase	
ENSG00000100505	TRIM9	"RNF91, SPRING"	"Tripartite motif containing 9"	Q9C026	14	50975262-51096061	"Enzymes, Predicted intracellular proteins"	"Ubl conjugation pathway"	Transferase	
ENSG00000163032	VSNL1	"HLP3, HPCAL3, HUVISL1, VILIP, VILIP-1"	"Visinin like 1"	P62760	2	17539126-17657018	"Predicted intracellular proteins"			
ENSG00000110881	ASIC1	"ACCN2, BNaC2, hBNaC2"	"Acid sensing ion channel subunit 1"	P78348	12	50057548-50083611	"FDA approved drug targets, Predicted membrane proteins"	"Calcium transport, Ion transport, Sodium transport, Transport"	"Ion channel, Sodium channel"	"FDA approved drug targets"
ENSG00000160716	CHRNB2		"Cholinergic receptor nicotinic beta 2 subunit"	P17787	1	154567781-154580026	"Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters"	"Ion transport, Transport"	"Ion channel, Ligand-gated ion channel, Receptor"	"Disease mutation, Epilepsy, FDA approved drug targets"
ENSG00000174871	CNIH2	"CNIH-2, Cnil, MGC50896"	"Cornichon family AMPA receptor auxiliary protein 2"	Q6PI25	11	66278190-66285301	"Predicted membrane proteins, Transporters"			
ENSG00000165023	DIRAS2	"Di-Ras2, DKFZp761C07121"	"DIRAS family GTPase 2"	Q96HU8	9	90609832-90643105	"Predicted intracellular proteins"			
ENSG00000116675	DNAJC6	"KIAA0473, PARK19"	"DnaJ heat shock protein family (Hsp40) member C6"	O75061	1	65248219-65415869	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"		"Chaperone, Hydrolase, Protein phosphatase"	"Disease mutation, Neurodegeneration, Parkinson disease, Parkinsonism"
ENSG00000145864	GABRB2		"Gamma-aminobutyric acid type A receptor beta2 subunit"	P47870	5	161288429-161549044	"FDA approved drug targets, Predicted membrane proteins, Transporters"	"Ion transport, Transport"	"Chloride channel, Ion channel, Ligand-gated ion channel, Receptor"	"Disease mutation, Epilepsy, FDA approved drug targets"
ENSG00000168505	GBX2		"Gastrulation brain homeobox 2"	P52951	2	236165236-236168369	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding	
ENSG00000169840	GSX1	"Gsh-1, GSH1"	"GS homeobox 1"	Q9H4S2	13	27792643-27794768	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"	
ENSG00000116983	HPCAL4	"DKFZp761G122, HLP4"	"Hippocalcin like 4"	Q9UM19	1	39678648-39691689	"Predicted intracellular proteins"			
ENSG00000143473	KCNH1	"eag, eag1, h-eag, Kv10.1"	"Potassium voltage-gated channel subfamily H member 1"	O95259	1	210676823-211134180	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Calmodulin-binding, Ion channel, Potassium channel, Voltage-gated channel"	"Disease mutation, Epilepsy, Mental retardation"
ENSG00000150361	KLHL1	"FLJ30047, KIAA1490, MRP2"	"Kelch like family member 1"	Q9NR64	13	69700594-70108493	"Predicted intracellular proteins"		Actin-binding	
ENSG00000187416	LHFPL3	LHFPL4	"LHFPL tetraspan subfamily member 3"	Q86UP9	7	104328656-104907232	"Predicted membrane proteins"			
ENSG00000078018	MAP2	"MAP2A, MAP2B, MAP2C"	"Microtubule associated protein 2"	P11137	2	209424058-209734118	"FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"		Calmodulin-binding	"FDA approved drug targets"
ENSG00000171246	NPTX1		"Neuronal pentraxin 1"	Q15818	17	80467148-80477843	"Predicted secreted proteins, Transporters"			
ENSG00000182447	OTOL1	"C1QTNF15, C1QTNF16"	"Otolin 1"	A6NHN0	3	161496808-161503942	"Predicted secreted proteins"			
ENSG00000242419	PCDHGC4	PCDH-GAMMA-C4	"Protocadherin gamma subfamily C, 4"	Q9Y5F7	5	141484997-141512979	"Predicted intracellular proteins, Predicted membrane proteins"	"Cell adhesion"		
ENSG00000111218	PRMT8	"HRMT1L3, HRMT1L4"	"Protein arginine methyltransferase 8"	Q9NR22	12	3381349-3593973	"Predicted intracellular proteins"		"Methyltransferase, Transferase"	
ENSG00000139970	RTN1	NSP	"Reticulon 1"	Q16799	14	59595976-59870966	"Plasma proteins, Predicted membrane proteins"			
ENSG00000136531	SCN2A	"HBSCI, HBSCII, Nav1.2, SCN2A1, SCN2A2"	"Sodium voltage-gated channel alpha subunit 2"	Q99250	2	165194993-165392310	"Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Sodium transport, Transport"	"Ion channel, Sodium channel, Voltage-gated channel"	"Disease mutation, Epilepsy, FDA approved drug targets"
ENSG00000110436	SLC1A2	"EAAT2, GLT-1"	"Solute carrier family 1 member 2"	P43004	11	35251205-35420063	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Amino-acid transport, Symport, Transport"		"Disease mutation, Epilepsy"
ENSG00000196376	SLC35F1	"C6orf169, dJ230I3.1"	"Solute carrier family 35 member F1"	Q5T1Q4	6	117907526-118317676	"Predicted membrane proteins, Transporters"	Transport		
ENSG00000065609	SNAP91	"AP180, CALM, KIAA0656"	"Synaptosome associated protein 91"	O60641	6	83552880-83709691	"Predicted intracellular proteins"	"Protein transport, Transport"		
ENSG00000147488	ST18	"KIAA0535, NZF3, ZC2H2C3, ZC2HC10, ZNF387"	"ST18, C2H2C-type zinc finger"	O60284	8	52110839-52460959	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"DNA-binding, Repressor"	
ENSG00000163630	SYNPR	"MGC26651, SPO"	Synaptoporin	Q8TBG9	3	63228315-63616921	"Predicted intracellular proteins, Predicted membrane proteins"			
ENSG00000102003	SYP	MRX96	Synaptophysin	P08247	X	49187804-49200259	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"			"Disease mutation, Mental retardation"
ENSG00000275038	AC091980.2				5	171305981-171308755	"Predicted intracellular proteins"			
ENSG00000181790	ADGRB1	BAI1	"Adhesion G protein-coupled receptor B1"	O14514	8	142449430-142545009	"Cancer-related genes, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins"	"Immunity, Innate immunity, Myogenesis, Neurogenesis, Phagocytosis"	"G-protein coupled receptor, Receptor, Transducer"	"Cancer-related genes"
ENSG00000154027	AK5		"Adenylate kinase 5"	Q9Y6K8	1	77282051-77559969	"Enzymes, Predicted intracellular proteins"		"Kinase, Transferase"	
ENSG00000167654	ATCAY	BNIP-H	"ATCAY, caytaxin"	Q86WG3	19	3879864-3928079	"Disease related genes, Predicted intracellular proteins"	"Neurogenesis, Transport"		"Disease mutation"
ENSG00000198216	CACNA1E	"BII, CACH6, CACNL1A6, Cav2.3"	"Calcium voltage-gated channel subunit alpha1 E"	Q15878	1	181317690-181808084	"FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Voltage-gated ion channels"	"Calcium transport, Ion transport, Transport"	"Calcium channel, Ion channel, Voltage-gated channel"	"Disease mutation, Epilepsy, FDA approved drug targets"
ENSG00000102924	CBLN1		"Cerebellin 1 precursor"	P23435	16	49277917-49281831	"Predicted secreted proteins"			
ENSG00000101203	COL20A1	KIAA1510	"Collagen type XX alpha 1 chain"	Q9P218	20	63293186-63334851	"Predicted intracellular proteins, Predicted secreted proteins"			
ENSG00000036530	CYP46A1	CYP46	"Cytochrome P450 family 46 subfamily A member 1"	Q9Y6A2	14	99684304-99727301	"Enzymes, Predicted intracellular proteins"	"Cholesterol metabolism, Lipid metabolism, Steroid metabolism, Sterol metabolism"	"Monooxygenase, Oxidoreductase"	
ENSG00000090932	DLL3	SCDO1	"Delta like canonical Notch ligand 3"	Q9NYJ7	19	39498895-39508481	"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Differentiation, Notch signaling pathway"	"Developmental protein"	"Disease mutation, Dwarfism"
ENSG00000166897	ELFN2	"dJ63G5.3, KIAA1904, LRRC62, PPP1R29"	"Extracellular leucine rich repeat and fibronectin type III domain containing 2"	Q5R3F8	22	37367960-37427470	"Predicted membrane proteins"		"Protein phosphatase inhibitor"	
ENSG00000153266	FEZF2	"FEZL, FKSG36, FLJ10142, TOF, Zfp312, ZNF312"	"FEZ family zinc finger 2"	Q8TBJ5	3	62369681-62374324	"Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Developmental protein, DNA-binding, Repressor"	
ENSG00000182870	GALNT9	GALNAC-T9	"Polypeptide N-acetylgalactosaminyltransferase 9"	Q9HCQ5	12	132196372-132329349	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"		"Glycosyltransferase, Transferase"	
ENSG00000124194	GDAP1L1		"Ganglioside induced differentiation associated protein 1 like 1"	Q96MZ0	20	44247099-44280917	"Predicted intracellular proteins, Predicted membrane proteins"			
ENSG00000198835	GJC2	"CX46.6, CX47, GJA12, SPG44"	"Gap junction protein gamma 2"	Q5T442	1	228149852-228159826	"Disease related genes, Predicted membrane proteins"			"Disease mutation, Hereditary spastic paraplegia, Leukodystrophy, Neurodegeneration"
ENSG00000046653	GPM6B	"M6B, MGC17150, MGC54284"	"Glycoprotein M6B"	Q13491	X	13771031-13938638	"Predicted membrane proteins"	"Differentiation, Neurogenesis, Osteogenesis, Protein transport, Transport"	"Developmental protein"	
ENSG00000120251	GRIA2	"GluA2, GLUR2, GLURB"	"Glutamate ionotropic receptor AMPA type subunit 2"	P42262	4	157204182-157366075	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Ion transport, Transport"	"Ion channel, Ligand-gated ion channel, Receptor"	
ENSG00000152578	GRIA4	"GluA4, GLUR4, GLURD"	"Glutamate ionotropic receptor AMPA type subunit 4"	P48058	11	105609994-105982092	"Predicted intracellular proteins, Predicted membrane proteins"	"Ion transport, Transport"	"Ion channel, Ligand-gated ion channel, Receptor"	"Disease mutation, Mental retardation"
ENSG00000164082	GRM2	"GPRC1B, mGlu2, MGLUR2"	"Glutamate metabotropic receptor 2"	Q14416	3	51707070-51718613	"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	
ENSG00000102468	HTR2A	"5-HT2A, HTR2"	"5-hydroxytryptamine receptor 2A"	P28223	13	46831550-46897076	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"	"Behavior, Host-virus interaction"	"G-protein coupled receptor, Host cell receptor for virus entry, Receptor, Transducer"	"FDA approved drug targets"
ENSG00000180332	KCTD4	bA321C24.3	"Potassium channel tetramerization domain containing 4"	Q8WVF5	13	45192853-45194717	"Plasma proteins, Predicted intracellular proteins"			
ENSG00000169783	LINGO1	"FLJ14594, LERN1, LRRN6A"	"Leucine rich repeat and Ig domain containing 1"	Q96FE5	15	77613027-77820900	"Predicted intracellular proteins, Predicted membrane proteins"			"Disease mutation, Mental retardation"
ENSG00000156564	LRFN2	"FIGLER2, KIAA1246, SALM1"	"Leucine rich repeat and fibronectin type III domain containing 2"	Q9ULH4	6	40391586-40587465	"Predicted membrane proteins"			
ENSG00000146006	LRRTM2	KIAA0416	"Leucine rich repeat transmembrane neuronal 2"	O43300	5	138868923-138875368	"Predicted intracellular proteins, Predicted membrane proteins"			
ENSG00000176956	LY6H	NMLY6	"Lymphocyte antigen 6 family member H"	O94772	8	143157914-143160711	"Plasma proteins, Predicted intracellular proteins"			
ENSG00000166963	MAP1A	MAP1L	"Microtubule associated protein 1A"	P78559	15	43510958-43531620	"FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"			"FDA approved drug targets"
ENSG00000125814	NAPB	"SNAP-BETA, SNAPB"	"NSF attachment protein beta"	Q9H115	20	23374519-23421519	"Predicted intracellular proteins"	"ER-Golgi transport, Protein transport, Transport"		
ENSG00000277586	NEFL	"CMT1F, CMT2E, NF68, NFL, PPP1R110"	"Neurofilament light"	P07196	8	24950955-24957110	"Disease related genes, Predicted intracellular proteins"			"Charcot-Marie-Tooth disease, Disease mutation, Neurodegeneration, Neuropathy"
ENSG00000162992	NEUROD1	"BETA2, BHF-1, bHLHa3, MODY6, NeuroD"	"Neuronal differentiation 1"	Q13562	2	181673088-181680876	"Disease related genes, Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"	"Diabetes mellitus, Disease mutation"
ENSG00000221890	NPTXR		"Neuronal pentraxin receptor"	O95502	22	38818452-38843982	"Plasma proteins, Predicted intracellular proteins"		Receptor	
ENSG00000183715	OPCML	"IGLON1, OBCAM, OPCM"	"Opioid binding protein/cell adhesion molecule like"	Q14982	11	132414977-133532519	"Disease related genes, Plasma proteins, Predicted intracellular proteins"	"Cell adhesion"		"Disease mutation"
ENSG00000067840	PDZD4	"FLJ34125, KIAA1444, LNX5, LU1, PDZK4, PDZRN4L"	"PDZ domain containing 4"	Q76G19	X	153802166-153830565	"Cancer-related genes, Predicted intracellular proteins"			"Cancer-related genes"
ENSG00000087495	PHACTR3	"C20orf101, PPP1R123"	"Phosphatase and actin regulator 3"	Q96KR7	20	59577509-59847711	"Predicted intracellular proteins"		"Actin-binding, Protein phosphatase inhibitor"	
ENSG00000204314	PRRT1	"C6orf31, IFITMD7, NG5"	"Proline rich transmembrane protein 1"	Q99946	6	32148359-32153083	"Predicted membrane proteins"			
ENSG00000105649	RAB3A		"RAB3A, member RAS oncogene family"	P20336	19	18196784-18204074	"Predicted intracellular proteins"	"Exocytosis, Protein transport, Transport"		
ENSG00000117016	RIMS3	"NIM3, RIM3"	"Regulating synaptic membrane exocytosis 3"	Q9UJD0	1	40620679-40665657	"Predicted intracellular proteins"	"Exocytosis, Neurotransmitter transport, Transport"		
ENSG00000179673	RPRML	MGC43894	"Reprimo like"	Q8N4K4	17	46978156-46979248	"Predicted membrane proteins"			
ENSG00000167100	SAMD14	FLJ36890	"Sterile alpha motif domain containing 14"	Q8IZD0	17	50110040-50129882	"Predicted intracellular proteins"			
ENSG00000164402	SEPT8	"KIAA0202, SEP2"	"Septin 8"	Q92599	5	132750817-132807241	"Predicted intracellular proteins"			
ENSG00000188779	SKOR1	"CORL1, FUSSEL15, LBXCOR1"	"SKI family transcriptional corepressor 1"	P84550	15	67819704-67834561	"Predicted intracellular proteins"	"Transcription, Transcription regulation"	Repressor	
ENSG00000005513	SOX8		"SRY-box 8"	P57073	16	981808-986979	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding	
ENSG00000177679	SRRM3	FLJ37078	"Serine/arginine repetitive matrix 3"		7	76201900-76287288	"Predicted intracellular proteins"			
ENSG00000139364	TMEM132B	"KIAA1786, KIAA1906"	"Transmembrane protein 132B"	Q14DG7	12	125186836-125662377	"Predicted membrane proteins"			
ENSG00000119283	TRIM67	TNL	"Tripartite motif containing 67"	Q6ZTA4	1	231162112-231221556	"Predicted intracellular proteins"			
ENSG00000250067	YJEFN3	"FLJ44968, hYjeF_N3-19p13.11"	"YjeF N-terminal domain containing 3"	A6XGL0	19	19528861-19537581	"Predicted intracellular proteins"	"Lipid transport, Transport"		
ENSG00000077080	ACTL6B	"ACTL6, BAF53B"	"Actin like 6B"	O94805	7	100643097-100656461	"Predicted intracellular proteins"	"Neurogenesis, Transcription, Transcription regulation"	"Chromatin regulator"	"Disease mutation, Epilepsy, Mental retardation"
ENSG00000179841	AKAP5	"AKAP75, AKAP79"	"A-kinase anchoring protein 5"	P24588	14	64465499-64474503	"Plasma proteins, Predicted intracellular proteins, Transporters"		Calmodulin-binding	
ENSG00000235710	AL109810.2				1	231184098-231187627	"Predicted intracellular proteins"			
ENSG00000172379	ARNT2	"bHLHe1, KIAA0307"	"Aryl hydrocarbon receptor nuclear translocator 2"	Q9HBZ2	15	80404350-80597937	"Disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding	
ENSG00000180828	BHLHE22	"Beta3, BHLHB5, bHLHe22, CAGL85, TNRC20"	"Basic helix-loop-helix family member e22"	Q8NFJ8	8	64580367-64583628	"Predicted intracellular proteins, Transcription factors"	"Neurogenesis, Transcription, Transcription regulation"	Repressor	
ENSG00000078725	BRINP1	"DBC1, DBCCR1, FAM5A"	"BMP/retinoic acid inducible neural specific 1"	O60477	9	119153458-119369467	"Predicted intracellular proteins, Transporters"	"Cell cycle, Growth arrest"		
ENSG00000144119	C1QL2	"C1QTNF10, CTRP10"	"Complement C1q like 2"	Q7Z5L3	2	119156243-119158889	"Predicted secreted proteins"			
