Ensembl	Gene	"Gene synonym"	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"
ENSG00000135643	KCNMB4		"Potassium calcium-activated channel subfamily M regulatory beta subunit 4"	Q86W47	12	70366276-70434292	"FDA approved drug targets, Predicted membrane proteins"	"Ion transport, Transport"	"Ion channel"	"FDA approved drug targets"
ENSG00000075043	KCNQ2	"BFNC, EBN, EBN1, ENB1, HNSPC, KCNA11, Kv7.2"	"Potassium voltage-gated channel subfamily Q member 2"	O43526	20	63400210-63472677	"Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Disease mutation, Epilepsy, FDA approved drug targets, Mental retardation"
ENSG00000185760	KCNQ5	Kv7.5	"Potassium voltage-gated channel subfamily Q member 5"	Q9NR82	6	72621792-73198851	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Disease mutation, Mental retardation"
ENSG00000156486	KCNS2	Kv9.2	"Potassium voltage-gated channel modifier subfamily S member 2"	Q9ULS6	8	98427022-98432848	"Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	
ENSG00000183775	KCTD16	KIAA1317	"Potassium channel tetramerization domain containing 16"	Q68DU8	5	144170832-144485686	"Predicted intracellular proteins"			
ENSG00000137261	KIAA0319	NMIG	KIAA0319	Q5VV43	6	24544104-24646155	"Disease related genes, Predicted membrane proteins, Predicted secreted proteins"	Neurogenesis	"Developmental protein"	
ENSG00000135835	KIAA1614		KIAA1614	Q5VZ46	1	180913154-180951614	"Predicted intracellular proteins"			
ENSG00000130294	KIF1A	"ATSV, C2orf20, SPG30, UNC104"	"Kinesin family member 1A"	Q12756	2	240713764-240820308	"Disease related genes, Predicted intracellular proteins"		"Motor protein"	"Disease mutation, Hereditary spastic paraplegia, Mental retardation, Neurodegeneration, Neuropathy"
ENSG00000149571	KIRREL3	"KIAA1867, KIRRE, NEPH2"	"Kirre like nephrin family adhesion molecule 3"	Q8IZU9	11	126423359-127003460	"Disease related genes, Plasma proteins, Predicted membrane proteins"			"Disease mutation"
ENSG00000186231	KLHL32	"BKLHD5, KIAA1900"	"Kelch like family member 32"	Q96NJ5	6	96924620-97140754	"Predicted intracellular proteins"			
ENSG00000162456	KNCN	"FLJ32011, KINO, L5"	Kinocilin	A6PVL3	1	46545644-46551527	"Predicted membrane proteins"			
ENSG00000171435	KSR2	FLJ25965	"Kinase suppressor of ras 2"	Q6VAB6	12	117453012-117968983	"Enzymes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"		"Kinase, Serine/threonine-protein kinase, Transferase"	
ENSG00000177984	LCN15	"PRO6093, UNQ2541"	"Lipocalin 15"	Q6UWW0	9	136759634-136766255	"Predicted secreted proteins"			
ENSG00000273706	LHX1	"LIM-1, LIM1"	"LIM homeobox 1"	P48742	17	36936785-36944612	"Cancer-related genes, Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	"Cancer-related genes"
ENSG00000106689	LHX2	"hLhx2, LH-2"	"LIM homeobox 2"	P50458	9	124001670-124033301	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"	
ENSG00000213171	LINGO4	LRRN6D	"Leucine rich repeat and Ig domain containing 4"	Q6UY18	1	151800264-151806154	"Predicted membrane proteins"			
ENSG00000131899	LLGL1	"DLG4, HUGL, HUGL-1, Lgl1, LLGL, Mgl1"	"LLGL1, scribble cell polarity complex component"	Q15334	17	18225587-18244875	"Predicted intracellular proteins"	Exocytosis		
ENSG00000183908	LRRC55	FLJ45686	"Leucine rich repeat containing 55"	Q6ZSA7	11	57181747-57191717	"Predicted membrane proteins, Transporters"	"Ion transport, Transport"	"Ion channel"	
ENSG00000198739	LRRTM3		"Leucine rich repeat transmembrane neuronal 3"	Q86VH5	10	66926006-67099830	"Predicted membrane proteins"			
ENSG00000187398	LUZP2		"Leucine zipper protein 2"	Q86TE4	11	24496970-25082631	"Predicted intracellular proteins, Predicted secreted proteins"			
ENSG00000105695	MAG	"GMA, S-MAG, SIGLEC-4A, SIGLEC4A"	"Myelin associated glycoprotein"	P20916	19	35292125-35313804	"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Cell adhesion"		"Disease mutation, Hereditary spastic paraplegia, Neurodegeneration"
ENSG00000105613	MAST1	"KIAA0973, SAST"	"Microtubule associated serine/threonine kinase 1"	Q9Y2H9	19	12833951-12874951	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"		"Kinase, Serine/threonine-protein kinase, Transferase"	"Disease mutation, Mental retardation"
ENSG00000124089	MC3R	MC3	"Melanocortin 3 receptor"	P41968	20	56248732-56249815	"G-protein coupled receptors, Predicted membrane proteins"	"Biological rhythms"	"G-protein coupled receptor, Receptor, Transducer"	
ENSG00000242120	MDFIC2		"MyoD family inhibitor domain containing 2"	A0A1B0GVS7	3	70196894-70312726	"Predicted intracellular proteins"			
ENSG00000168502	MTCL1	"CCDC165, KIAA0802, SOGA2"	"Microtubule crosslinking factor 1"	Q9Y4B5	18	8705661-8832778	"Plasma proteins, Predicted intracellular proteins"			
ENSG00000186487	MYT1L	"KIAA1106, NZF1, ZC2H2C2, ZC2HC4B"	"Myelin transcription factor 1 like"	Q9UL68	2	1789113-2331348	"Disease related genes, Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Developmental protein, DNA-binding, Repressor"	"Autism spectrum disorder, Mental retardation"
ENSG00000186462	NAP1L2	"BPX, MGC26243"	"Nucleosome assembly protein 1 like 2"	Q9ULW6	X	73212299-73214848	"Predicted intracellular proteins"			
ENSG00000213672	NCKIPSD	"AF3P21, DIP1, ORF1, SPIN90, WASLBP, WISH"	"NCK interacting protein with SH3 domain"	Q9NZQ3	3	48673844-48686364	"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"			Proto-oncogene
ENSG00000103034	NDRG4	"KIAA1180, SMAP-8"	"NDRG family member 4"	Q9ULP0	16	58462846-58513628	"Predicted intracellular proteins, Predicted membrane proteins"			
ENSG00000123119	NECAB1	EFCBP1	"N-terminal EF-hand calcium binding protein 1"	Q8N987	8	90791550-90959408	"Predicted intracellular proteins"			
ENSG00000103154	NECAB2	EFCBP2	"N-terminal EF-hand calcium binding protein 2"	Q7Z6G3	16	83968632-84002776	"Predicted intracellular proteins"			
ENSG00000104722	NEFM	"NEF3, NF-M, NFM"	"Neurofilament medium"	P07197	8	24913012-24919098	"Plasma proteins, Predicted intracellular proteins"			
ENSG00000177551	NHLH2	"bHLHa34, HEN2, NSCL2"	"Nescient helix-loop-helix 2"	Q02577	1	115836377-115843917	"Predicted intracellular proteins, Transcription factors"	"Differentiation, Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	
ENSG00000177453	NIM1K	"MGC42105, NIM1"	"NIM1 serine/threonine protein kinase"	Q8IY84	5	43192071-43280850	"Enzymes, Predicted membrane proteins"		"Kinase, Serine/threonine-protein kinase, Transferase"	
ENSG00000101198	NKAIN4	"bA261N11.2, C20orf58, FAM77A"	"Sodium/potassium transporting ATPase interacting 4"	Q8IVV8	20	63240784-63272694	"Predicted intracellular proteins, Predicted membrane proteins"			
ENSG00000135577	NMBR	"BB1, BB1R"	"Neuromedin B receptor"	P28336	6	142058330-142088799	"G-protein coupled receptors, Plasma proteins, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	
ENSG00000152954	NRSN1	"p24, VMP"	"Neurensin 1"	Q8IZ57	6	24126122-24154900	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"			
ENSG00000170091	NSG2	"CALY3, HMP19, Nsg2"	"Neuronal vesicle trafficking associated 2"	Q9Y328	5	174045604-174243501	"Predicted intracellular proteins, Predicted membrane proteins"			
ENSG00000122375	OPN4	"melanopsin, MOP"	"Opsin 4"	Q9UHM6	10	86654557-86666848	"G-protein coupled receptors, Predicted membrane proteins, Transporters"	"Biological rhythms, Sensory transduction"	"G-protein coupled receptor, Photoreceptor protein, Receptor, Retinal protein, Transducer"	
ENSG00000112038	OPRM1	MOR1	"Opioid receptor mu 1"	P35372	6	154010496-154246867	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"
ENSG00000189181	OR14I1	"OR5BU1, OR5BU1P"	"Olfactory receptor family 14 subfamily I member 1"	A6ND48	1	248681369-248682304	"G-protein coupled receptors, Predicted membrane proteins"	"Olfaction, Sensory transduction"	"G-protein coupled receptor, Receptor, Transducer"	
ENSG00000168124	OR1F1	"Olfmf, OR16-36, OR16-37, OR16-88, OR16-89, OR16-90, OR1F10, OR1F13P, OR1F4, OR1F5, OR1F6, OR1F7, OR1F8, OR1F9, OR3-145"	"Olfactory receptor family 1 subfamily F member 1"	O43749	16	3204247-3205188	"G-protein coupled receptors, Predicted membrane proteins"	"Olfaction, Sensory transduction"	"G-protein coupled receptor, Receptor, Transducer"	
ENSG00000221882	OR3A2	"OLFRA04, OR17-228, OR228"	"Olfactory receptor family 3 subfamily A member 2"	P47893	17	3276942-3386317	"G-protein coupled receptors, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Olfaction, Sensory transduction"	"G-protein coupled receptor, Receptor, Transducer"	
ENSG00000124507	PACSIN1	SDPI	"Protein kinase C and casein kinase substrate in neurons 1"	Q9BY11	6	34466061-34535231	"Plasma proteins, Predicted intracellular proteins"	Endocytosis		
ENSG00000102290	PCDH11X	"PCDH-X, PCDH11, PCDHX, PPP1R119"	"Protocadherin 11 X-linked"	Q9BZA7	X	91779261-92623230	"Predicted membrane proteins"	"Cell adhesion"		
ENSG00000204965	PCDHA5	"CNR6, CNRN6, CNRS6, CRNR6, PCDH-ALPHA5"	"Protocadherin alpha 5"	Q9Y5H7	5	140821604-141012344	"Predicted membrane proteins"	"Cell adhesion"		
ENSG00000253846	PCDHGA10	PCDH-GAMMA-A10	"Protocadherin gamma subfamily A, 10"	Q9Y5H3	5	141412987-141512979	"Predicted membrane proteins"	"Cell adhesion"		
ENSG00000174788	PCP2	"GPSM4, MGC41903"	"Purkinje cell protein 2"	Q8IVA1	19	7631611-7633748	"Predicted intracellular proteins"			
ENSG00000181195	PENK		Proenkephalin	P01210	8	56436674-56446734	"Plasma proteins, Predicted secreted proteins, Transporters"		"Endorphin, Neuropeptide, Opioid peptide"	
ENSG00000114757	PEX5L	"PEX5R, PXR2, TRIP8b"	"Peroxisomal biogenesis factor 5 like"	Q8IYB4	3	179794958-180037053	"Predicted intracellular proteins"			
ENSG00000165434	PGM2L1	"BM32A, FLJ32029"	"Phosphoglucomutase 2 like 1"	Q6PCE3	11	74330318-74398473	"Enzymes, Predicted intracellular proteins"	"Carbohydrate metabolism, Glucose metabolism"	"Isomerase, Transferase"	
ENSG00000122733	PHF24	KIAA1045	"PHD finger protein 24"	Q9UPV7	9	34957608-34982544	"Predicted intracellular proteins"			
ENSG00000139200	PIANP	"C12orf53, DKFZp547D2210, PANP"	"PILR alpha associated neural protein"	Q8IYJ0	12	6693792-6700800	"Predicted intracellular proteins, Predicted membrane proteins"			
ENSG00000180287	PLD5	FLJ40773	"Phospholipase D family member 5"	Q8N7P1	1	242082986-242524696	"Predicted intracellular proteins, Predicted membrane proteins"			
ENSG00000021300	PLEKHB1	"KPL1, PHR1, PHRET1"	"Pleckstrin homology domain containing B1"	Q9UF11	11	73646178-73662819	"Predicted intracellular proteins"		"Developmental protein"	
ENSG00000277531	PNMA8C		"PNMA family member 8C"	A0A1B0GUJ8	19	46424697-46428951	"Predicted intracellular proteins"			
ENSG00000156475	PPP2R2B	"B55beta, PR52B, PR55-BETA, SCA12"	"Protein phosphatase 2 regulatory subunit Bbeta"	Q00005	5	146581146-147084784	"Disease related genes, Predicted intracellular proteins"	Apoptosis		"Disease mutation, Neurodegeneration, Spinocerebellar ataxia"
ENSG00000189099	PRSS48	ESSPL	"Serine protease 48"	Q7RTY5	4	151277171-151291453	"Enzymes, Predicted membrane proteins, Predicted secreted proteins"		"Hydrolase, Protease, Serine protease"	
ENSG00000253649	PRSS51		"Serine protease 51"	A0A1B0GVH4	8	10482878-10547585	"Enzymes, Predicted intracellular proteins, Predicted secreted proteins"			
ENSG00000153233	PTPRR	"EC-PTP, PCPTP1, PTP-SL, PTPBR7, PTPRQ"	"Protein tyrosine phosphatase, receptor type R"	Q15256	12	70638073-70920843	"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"		"Hydrolase, Protein phosphatase, Receptor"	
ENSG00000100362	PVALB	D22S749	Parvalbumin	P20472	22	36800684-36819479	"Predicted intracellular proteins"		"Muscle protein"	
ENSG00000184672	RALYL	HNRPCL3	"RALY RNA binding protein like"	Q86SE5	8	84182787-84921844	"Predicted intracellular proteins"		RNA-binding	
ENSG00000058335	RASGRF1	"CDC25, CDC25L, GNRP, GRF1, GRF55, H-GRF55, PP13187"	"Ras protein specific guanine nucleotide releasing factor 1"	Q13972	15	78959947-79090773	"Predicted intracellular proteins, RAS pathway related proteins"		"Guanine-nucleotide releasing factor"	
ENSG00000078328	RBFOX1	"A2BP1, FOX-1, HRNBP1"	"RNA binding fox-1 homolog 1"	Q9NWB1	16	5239802-7713338	"Predicted intracellular proteins"	"mRNA processing, mRNA splicing"	RNA-binding	
ENSG00000189056	RELN	"PRO1598, RL"	Reelin	P78509	7	103471784-103989516	"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Cell adhesion"	"Developmental protein, Hydrolase, Protease, Serine protease"	"Disease mutation, Epilepsy, Lissencephaly"
ENSG00000132677	RHBG	SLC42A2	"Rh family B glycoprotein (gene/pseudogene)"	Q9H310	1	156369212-156385219	"Predicted membrane proteins, Transporters"	"Ammonia transport, Transport"		
ENSG00000101883	RHOXF1	"OTEX, PEPP1"	"Rhox homeobox family member 1"	Q8NHV9	X	120109053-120115937	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding	
ENSG00000128482	RNF112	"BFP, ZNF179"	"Ring finger protein 112"	Q9ULX5	17	19411125-19417276	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"	"Neurogenesis, Ubl conjugation pathway"	Transferase	
ENSG00000132026	RTBDN	FLJ36353	Retbindin	Q9BSG5	19	12825478-12835428	"Predicted membrane proteins, Predicted secreted proteins, Transporters"			
ENSG00000254656	RTL1	"HUR1, Mar1, MART1, PEG11, SIRH2"	"Retrotransposon Gag like 1"	A6NKG5	14	100880655-100884847	"Predicted membrane proteins"		"Developmental protein"	
ENSG00000182631	RXFP3	"GPCR135, RLN3R1, RXFPR3, SALPR"	"Relaxin/insulin like family peptide receptor 3"	Q9NSD7	5	33936386-33938237	"G-protein coupled receptors, Predicted membrane proteins, Transporters"		"G-protein coupled receptor, Receptor, Transducer"	
ENSG00000119042	SATB2	"FLJ21474, KIAA1034"	"SATB homeobox 2"	Q9UPW6	2	199269500-199471266	"Disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Chromatin regulator, Developmental protein, DNA-binding, Repressor"	"Disease mutation, Mental retardation"
ENSG00000104112	SCG3	"FLJ90833, SgIII"	"Secretogranin III"	Q8WXD2	15	51681353-51721031	"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"			
ENSG00000144285	SCN1A	"FEB3, GEFSP2, HBSCI, NAC1, Nav1.1, SCN1, SMEI"	"Sodium voltage-gated channel alpha subunit 1"	P35498	2	165984641-166149214	"Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Sodium transport, Transport"	"Ion channel, Sodium channel, Voltage-gated channel"	"Autism, Autism spectrum disorder, Disease mutation, Epilepsy, FDA approved drug targets"
ENSG00000105711	SCN1B		"Sodium voltage-gated channel beta subunit 1"	Q07699	19	35030466-35040449	"Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Cell adhesion, Ion transport, Sodium transport, Transport"	"Ion channel, Sodium channel, Voltage-gated channel"	"Atrial fibrillation, Brugada syndrome, Disease mutation, Epilepsy, FDA approved drug targets"
ENSG00000153253	SCN3A	Nav1.3	"Sodium voltage-gated channel alpha subunit 3"	Q9NY46	2	165087522-165204067	"FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Voltage-gated ion channels"	"Ion transport, Sodium transport, Transport"	"Ion channel, Sodium channel, Voltage-gated channel"	"Disease mutation, Epilepsy, FDA approved drug targets"
ENSG00000215397	SCRT2	ZNF898B	"Scratch family transcriptional repressor 2"	Q9NQ03	20	661596-676179	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding	
ENSG00000100095	SEZ6L		"Seizure related 6 homolog like"	Q9BYH1	22	26169474-26383597	"Predicted membrane proteins"			
ENSG00000185053	SGCZ	ZSG1	"Sarcoglycan zeta"	Q96LD1	8	14089864-15238339	"Predicted membrane proteins"			
ENSG00000215474	SKOR2	"CORL2, Fussel-18, FUSSEL18"	"SKI family transcriptional corepressor 2"	Q2VWA4	18	47206322-47251603	"Predicted intracellular proteins"	"Transcription, Transcription regulation"	Repressor	
ENSG00000139737	SLAIN1	"C13orf32, FLJ30046"	"SLAIN motif family member 1"	Q8ND83	13	77697854-77764242	"Predicted intracellular proteins"			
ENSG00000179520	SLC17A8	"DFNA25, VGLUT3"	"Solute carrier family 17 member 8"	Q8NDX2	12	100357079-100422059	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Hearing, Ion transport, Neurotransmitter transport, Sodium transport, Symport, Transport"		"Deafness, Disease mutation, Non-syndromic deafness"
ENSG00000155886	SLC24A2	NCKX2	"Solute carrier family 24 member 2"	Q9UI40	9	19507452-19786928	"Predicted membrane proteins, Transporters"	"Antiport, Calcium transport, Ion transport, Potassium transport, Sensory transduction, Sodium transport, Symport, Transport, Vision"		
ENSG00000011083	SLC6A7	PROT	"Solute carrier family 6 member 7"	Q99884	5	150189957-150222788	"Predicted membrane proteins, Transporters"	"Amino-acid transport, Neurotransmitter transport, Symport, Transport"		
ENSG00000118160	SLC8A2	"KIAA1087, NCX2"	"Solute carrier family 8 member A2"	Q9UPR5	19	47428017-47472168	"Plasma proteins, Predicted membrane proteins, Transporters"	"Antiport, Calcium transport, Ion transport, Sodium transport, Transport"	Calmodulin-binding	
ENSG00000100678	SLC8A3	NCX3	"Solute carrier family 8 member A3"	P57103	14	70044217-70189070	"Predicted membrane proteins, Transporters"	"Antiport, Calcium transport, Ion transport, Sodium transport, Transport"	Calmodulin-binding	
ENSG00000145335	SNCA	"NACP, PARK1, PARK4, PD1"	"Synuclein alpha"	P37840	4	89724099-89838315	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"			"Alzheimer disease, Disease mutation, Neurodegeneration, Parkinson disease, Parkinsonism"
ENSG00000172803	SNX32	"FLJ30934, SNX6B"	"Sorting nexin 32"	Q86XE0	11	65833641-65856896	"Predicted intracellular proteins"	"Protein transport, Transport"		
ENSG00000181449	SOX2		"SRY-box 2"	P48431	3	181711924-181714436	"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"	"Cancer-related genes, Disease mutation, Microphthalmia"
ENSG00000277363	SRCIN1	"KIAA1684, p140Cap, SNIP"	"SRC kinase signaling inhibitor 1"	Q9C0H9	17	38530016-38605930	"Predicted intracellular proteins"	Exocytosis		
ENSG00000157005	SST	SMST	Somatostatin	P61278	3	187668906-187670399	"Cancer-related genes, Plasma proteins, Predicted secreted proteins"		Hormone	"Cancer-related genes"
ENSG00000140557	ST8SIA2	"HsT19690, SIAT8B, ST8SIA-II, STX"	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2"	Q92186	15	92393828-92468728	"Predicted intracellular proteins"		"Glycosyltransferase, Transferase"	
ENSG00000177511	ST8SIA3	SIAT8C	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3"	O43173	18	57350813-57371731	"Predicted intracellular proteins, Predicted membrane proteins"		"Glycosyltransferase, Transferase"	
ENSG00000242866	STRC	DFNB16	Stereocilin	Q7RTU9	15	43599563-43618800	"Disease related genes, Predicted intracellular proteins"	Hearing		"Deafness, Non-syndromic deafness"
ENSG00000127561	SYNGR3		"Synaptogyrin 3"	O43761	16	1989660-1994275	"Predicted intracellular proteins, Predicted membrane proteins"			
ENSG00000135426	TESPA1	KIAA0748	"Thymocyte expressed, positive selection associated 1"	A2RU30	12	54948018-54984746	"Predicted intracellular proteins"			
ENSG00000008197	TFAP2D	TFAP2BL1	"Transcription factor AP-2 delta"	Q7Z6R9	6	50713828-50772988	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"	
ENSG00000156299	TIAM1		"T cell lymphoma invasion and metastasis 1"	Q13009	21	31118416-31559977	"Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"		"Guanine-nucleotide releasing factor"	
ENSG00000241697	TMEFF1	"C9orf2, CT120.1, H7365"	"Transmembrane protein with EGF like and two follistatin like domains 1"	Q8IYR6	9	100473113-100577636	"Predicted membrane proteins"		"Developmental protein"	
ENSG00000166448	TMEM130	"DKFZp761L1417, FLJ42643"	"Transmembrane protein 130"	Q8N3G9	7	98846488-98870771	"Predicted intracellular proteins, Predicted membrane proteins"			
ENSG00000167619	TMEM145	FLJ90805	"Transmembrane protein 145"	Q8NBT3	19	42313325-42325062	"Predicted intracellular proteins, Predicted membrane proteins"			
ENSG00000152154	TMEM178A	"MGC33926, TMEM178"	"Transmembrane protein 178A"	Q8NBL3	2	39664982-39717963	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"			
ENSG00000258986	TMEM179	"C14orf90, FLJ42486, TMEM179A"	"Transmembrane protein 179"	Q6ZVK1	14	104474678-104605647	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"			
ENSG00000169758	TMEM266	"C15orf27, FLJ38190"	"Transmembrane protein 266"	Q2M3C6	15	76059837-76229121	"Predicted membrane proteins"			
ENSG00000128872	TMOD2	NTMOD	"Tropomodulin 2"	Q9NZR1	15	51751561-51816368	"Predicted intracellular proteins"		Actin-binding	
ENSG00000166682	TMPRSS5	"MGC141886, MGC148044"	"Transmembrane serine protease 5"	Q9H3S3	11	113687546-113706373	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"		"Hydrolase, Protease, Serine protease"	
ENSG00000174417	TRHR		"Thyrotropin releasing hormone receptor"	P34981	8	109086621-109119584	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters"		"G-protein coupled receptor, Receptor, Transducer"	"Congenital hypothyroidism, Disease mutation, FDA approved drug targets"
ENSG00000156298	TSPAN7	"A15, CD231, DXS1692E, MRX58, MXS1, TALLA-1, TM4SF2"	"Tetraspanin 7"	P41732	X	38561370-38688920	"CD markers, Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Host-virus interaction"		"Disease mutation, Mental retardation"
ENSG00000141540	TTYH2	C17orf29	"Tweety family member 2"	Q9BSA4	17	74213514-74262020	"Predicted membrane proteins, Transporters"	"Ion transport, Transport"	"Chloride channel, Ion channel"	
ENSG00000250366	TUNAR	"HI-LNC78, LINC00617, TUNA"	"TCL1 upstream neural differentiation-associated RNA"		14	95876392-95925571	"Predicted membrane proteins"			
ENSG00000174607	UGT8	CGT	"UDP glycosyltransferase 8"	Q16880	4	114598455-114678224	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"	"Lipid metabolism, Sphingolipid metabolism"	"Glycosyltransferase, Transferase"	
ENSG00000113763	UNC5A	"KIAA1976, UNC5H1"	"Unc-5 netrin receptor A"	Q6ZN44	5	176810477-176880898	"Predicted membrane proteins"	Apoptosis	"Developmental protein, Receptor"	
ENSG00000145198	VWA5B2	"DKFZp761K032, LOC90113"	"Von Willebrand factor A domain containing 5B2"	Q8N398	3	184230429-184242329	"Predicted intracellular proteins"			
ENSG00000179698	WDR97	KIAA1875	"WD repeat domain 97"	A6NE52	8	144107726-144118315	"Predicted intracellular proteins"			
ENSG00000182223	ZAR1	Z3CXXC6	"Zygote arrest 1"	Q86SH2	4	48490252-48494389	"Plasma proteins, Predicted intracellular proteins"		"Developmental protein"	
ENSG00000179456	ZBTB18	"C2H2-171, RP58, TAZ-1, ZNF238"	"Zinc finger and BTB domain containing 18"	Q99592	1	244048939-244057476	"Disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Developmental protein, DNA-binding, Repressor"	"Mental retardation"
ENSG00000174460	ZCCHC12	"FLJ16123, PNMA7A, SIZN, SIZN1"	"Zinc finger CCHC-type containing 12"	Q6PEW1	X	118823790-118826968	"Predicted intracellular proteins"	"Transcription, Transcription regulation"		
ENSG00000159733	ZFYVE28	KIAA1643	"Zinc finger FYVE-type containing 28"	Q9HCC9	4	2269582-2418663	"Plasma proteins, Predicted intracellular proteins"			
ENSG00000139800	ZIC5		"Zic family member 5"	Q96T25	13	99962964-99971909	"Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis"	"Developmental protein, DNA-binding"	
ENSG00000196350	ZNF729		"Zinc finger protein 729"	A6NN14	19	22286408-22317176	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding	
ENSG00000140798	ABCC12	MRP9	"ATP binding cassette subfamily C member 12"	Q96J65	16	48082973-48156018	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Transport		
ENSG00000275163	AC117457.1				3	178419123-178843300	"Predicted membrane proteins"			
ENSG00000176244	ACBD7	"bA455B2.2, FLJ38219"	"Acyl-CoA binding domain containing 7"	Q8N6N7	10	15077523-15088776	"Predicted intracellular proteins"			
ENSG00000087085	ACHE	YT	"Acetylcholinesterase (Cartwright blood group)"	P22303	7	100889994-100896974	"Blood group antigen proteins, Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Neurotransmitter degradation"	"Blood group antigen, Hydrolase, Serine esterase"	"FDA approved drug targets"
ENSG00000103740	ACSBG1	"BG1, BGM, FLJ30320, hBG1, hsBG, KIAA0631, MGC14352"	"Acyl-CoA synthetase bubblegum family member 1"	Q96GR2	15	78167468-78245688	"Enzymes, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase	
ENSG00000135298	ADGRB3	"BAI3, KIAA0550"	"Adhesion G protein-coupled receptor B3"	O60242	6	68635367-69389511	"G-protein coupled receptors, Plasma proteins, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	
ENSG00000282608	ADORA3	AD026	"Adenosine A3 receptor"	P0DMS8	1	111499429-111503760	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"
ENSG00000250349	AF241726.2				X	37349330-38687674	"Predicted membrane proteins"			
ENSG00000135439	AGAP2	CENTG1	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2"	Q99490	12	57723761-57742157	"Predicted intracellular proteins"	"Protein transport, Transport"	"GTPase activation"	"Tumor suppressor"
